AU011858,            ONE,     00,
19210120, 1200,  , TD, 14.0S, 148.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210120, 1800,  , TD, 13.6S, 148.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210121, 0000,  , TD, 13.4S, 148.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210121, 0600,  , TD, 13.2S, 147.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210121, 1200,  , TD, 13.1S, 147.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210121, 1800,  , TD, 12.9S, 147.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210122, 0000,  , TD, 12.8S, 146.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210122, 0600,  , TD, 12.5S, 146.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210122, 1200,  , TD, 12.2S, 146.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210122, 1800,  , TD, 11.9S, 146.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210123, 0000,  , TD, 11.5S, 145.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210123, 0600,  , TD, 11.1S, 145.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210123, 1200,  , TD, 10.6S, 145.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210123, 1800,  , TD, 10.3S, 144.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210124, 0000,  , TD, 10.2S, 145.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210124, 0600,  , TD, 10.3S, 146.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210124, 1200,  , TD, 10.8S, 146.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210124, 1800,  , TD, 11.4S, 147.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210125, 0000,  , TD, 12.1S, 147.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210125, 0600,  , TD, 12.6S, 147.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210125, 1200,  , TD, 13.2S, 147.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210125, 1800,  , TD, 13.8S, 147.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210126, 0000,  , TD, 14.5S, 148.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210126, 0600,  , TD, 15.4S, 149.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210126, 1200,  , TD, 16.4S, 150.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210126, 1800,  , TD, 17.2S, 151.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210127, 0000,  , TD, 17.9S, 152.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210127, 0600,  , TD, 18.1S, 152.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210127, 1200,  , TD, 18.2S, 152.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210127, 1800,  , TD, 18.3S, 152.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210128, 0000,  , TD, 18.6S, 152.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210128, 0600,  , TD, 19.1S, 153.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210128, 1200,  , TD, 19.6S, 153.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210128, 1800,  , TD, 20.2S, 154.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210129, 0000,  , TD, 20.8S, 154.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210129, 0600,  , TD, 21.2S, 154.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210129, 1200,  , TD, 21.6S, 154.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210129, 1800,  , TD, 22.0S, 155.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210130, 0000,  , TD, 22.5S, 155.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210130, 0600,  , TD, 23.0S, 156.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210130, 1200,  , TD, 23.4S, 157.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210130, 1800,  , TD, 23.6S, 159.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU031921,            THREE,     00,
19210211, 0600,  , TD, 20.0S, 115.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210211, 1200,  , TD, 19.9S, 115.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210211, 1800,  , TD, 19.9S, 115.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210212, 0000,  , TD, 20.1S, 115.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210212, 0600,  , TD, 20.5S, 115.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210212, 1200,  , TD, 21.2S, 114.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210212, 1800,  , TD, 22.2S, 114.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210213, 0000,  , TD, 23.6S, 114.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210213, 0600,  , TD, 25.3S, 113.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210213, 1200,  , TD, 27.7S, 113.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210213, 1800,  , TD, 30.3S, 112.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210214, 0000,  , TD, 32.8S, 112.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210214, 0600,  , TD, 34.8S, 112.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210214, 1200,  , TD, 36.0S, 112.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210214, 1800,  , TD, 36.5S, 112.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210215, 0000,  , TD, 36.6S, 112.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210215, 0600,  , TD, 36.5S, 112.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU041921,            FOUR,     00,
19210217, 0600,  , TD, 21.1S, 113.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210217, 1200,  , TD, 21.4S, 112.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210217, 1800,  , TD, 22.2S, 112.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210218, 0000,  , TD, 23.9S, 112.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210218, 0600,  , TD, 26.2S, 113.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210218, 1200,  , TD, 27.1S, 113.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210218, 1800,  , TD, 27.7S, 113.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210219, 0000,  , TD, 28.2S, 114.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU051921,            FIVE,     00,
19210329, 0000,  , TD, 12.0S, 147.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210329, 0600,  , TD, 12.0S, 147.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210329, 1200,  , TD, 11.9S, 146.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210329, 1800,  , TD, 11.9S, 146.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210330, 0000,  , TD, 11.9S, 146.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210330, 0600,  , TD, 11.9S, 146.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210330, 1200,  , TD, 11.9S, 146.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210330, 1800,  , TD, 11.9S, 146.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210331, 0000,  , TD, 12.0S, 145.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210331, 0600,  , TD, 12.0S, 145.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210331, 1200,  , TD, 12.1S, 145.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210331, 1800,  , TD, 12.2S, 144.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210401, 0000,  , TD, 12.6S, 144.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210401, 0600,  , TD, 13.0S, 143.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210401, 1200,  , TD, 13.4S, 143.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210401, 1800,  , TD, 14.0S, 142.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210402, 0000,  , TD, 15.0S, 141.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210402, 0600,  , TD, 15.7S, 140.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210402, 1200,  , TD, 16.0S, 139.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210402, 1800,  , TD, 16.0S, 140.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210403, 0000,  , TD, 16.0S, 140.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210403, 0600,  , TD, 16.2S, 140.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210403, 1200,  , TD, 16.5S, 139.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210403, 1800,  , TD, 16.8S, 139.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210404, 0000,  , TD, 17.3S, 139.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210404, 0600,  , TD, 17.9S, 139.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210404, 1200,  , TD, 18.5S, 139.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210404, 1800,  , TD, 19.0S, 139.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU061921,            SIX,     00,
19210402, 0000,  , TD, 14.2S, 150.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210402, 0600,  , TD, 14.6S, 150.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210402, 1200,  , TD, 15.0S, 150.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210402, 1800,  , TD, 15.5S, 150.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210403, 0000,  , TD, 15.9S, 150.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210403, 0600,  , TD, 16.1S, 150.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210403, 1200,  , TD, 16.2S, 150.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210403, 1800,  , TD, 16.4S, 151.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210404, 0000,  , TD, 16.8S, 151.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210404, 0600,  , TD, 17.3S, 151.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210404, 1200,  , TD, 17.9S, 151.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210404, 1800,  , TD, 18.3S, 151.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210405, 0000,  , TD, 19.1S, 151.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210405, 0600,  , TD, 20.5S, 150.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210405, 1200,  , TD, 21.9S, 150.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210405, 1800,  , TD, 23.0S, 150.3E,  25,  977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210406, 0000,  , TD, 24.3S, 151.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210406, 0600,  , TD, 25.5S, 152.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210406, 1200,  , TD, 26.6S, 153.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210406, 1800,  , TD, 27.6S, 155.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210407, 0000,  , TD, 28.3S, 156.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210407, 0600,  , TD, 28.6S, 157.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210407, 1200,  , TD, 28.7S, 158.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19210407, 1800,  , TD, 28.5S, 158.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011922,            ONE,     00,
19220116, 0000,  , TD, 12.3S, 151.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220116, 0600,  , TD, 12.8S, 152.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220116, 1200,  , TD, 13.2S, 152.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220116, 1800,  , TD, 13.7S, 153.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220117, 0000,  , TD, 14.2S, 153.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220117, 0600,  , TD, 14.7S, 153.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220117, 1200,  , TD, 15.2S, 153.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220117, 1800,  , TD, 15.8S, 154.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220118, 0000,  , TD, 16.7S, 154.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220118, 0600,  , TD, 17.7S, 155.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220118, 1200,  , TD, 18.7S, 156.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220118, 1800,  , TD, 19.6S, 158.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220119, 0000,  , TD, 20.2S, 159.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220119, 0600,  , TD, 20.5S, 160.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220119, 1200,  , TD, 20.7S, 161.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220119, 1800,  , TD, 20.8S, 162.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU021922,            TWO,     00,
19220207, 0000,  , TD, 19.8S, 155.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220207, 0600,  , TD, 19.8S, 155.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220207, 1200,  , TD, 19.9S, 155.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220207, 1800,  , TD, 19.9S, 155.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220208, 0000,  , TD, 20.0S, 155.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220208, 0600,  , TD, 20.2S, 156.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220208, 1200,  , TD, 20.3S, 156.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220208, 1800,  , TD, 20.5S, 156.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220209, 0000,  , TD, 20.6S, 156.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220209, 0600,  , TD, 20.7S, 156.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220209, 1200,  , TD, 20.8S, 156.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220209, 1800,  , TD, 20.9S, 156.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220210, 0000,  , TD, 21.0S, 156.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220210, 0600,  , TD, 21.1S, 156.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220210, 1200,  , TD, 21.2S, 156.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220210, 1800,  , TD, 21.2S, 156.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220211, 0000,  , TD, 21.3S, 156.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220211, 0600,  , TD, 21.4S, 156.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220211, 1200,  , TD, 21.4S, 156.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220211, 1800,  , TD, 21.5S, 156.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220212, 0000,  , TD, 21.6S, 156.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220212, 0600,  , TD, 21.6S, 156.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220212, 1200,  , TD, 21.6S, 156.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220212, 1800,  , TD, 21.8S, 156.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220213, 0000,  , TD, 22.3S, 157.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220213, 0600,  , TD, 23.0S, 157.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220213, 1200,  , TD, 23.7S, 158.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220213, 1800,  , TD, 24.3S, 158.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220214, 0000,  , TD, 24.9S, 159.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220214, 0600,  , TD, 25.9S, 159.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220214, 1200,  , TD, 26.9S, 160.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220214, 1800,  , TD, 27.4S, 161.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220215, 0000,  , TD, 27.6S, 163.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220215, 0600,  , TD, 27.5S, 163.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220215, 1200,  , TD, 27.3S, 163.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220215, 1800,  , TD, 27.0S, 163.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220216, 0000,  , TD, 26.6S, 163.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220216, 0600,  , TD, 26.1S, 163.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220216, 1200,  , TD, 25.7S, 163.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220216, 1800,  , TD, 25.4S, 163.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220217, 0000,  , TD, 25.0S, 162.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220217, 0600,  , TD, 24.5S, 161.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220217, 1200,  , TD, 24.2S, 159.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220217, 1800,  , TD, 24.1S, 158.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220218, 0000,  , TD, 24.1S, 156.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220218, 0600,  , TD, 24.2S, 155.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220218, 1200,  , TD, 24.3S, 154.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220218, 1800,  , TD, 24.3S, 153.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220219, 0000,  , TD, 24.2S, 152.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220219, 0600,  , TD, 23.8S, 152.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220219, 1200,  , TD, 23.4S, 152.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220219, 1800,  , TD, 23.0S, 151.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220220, 0000,  , TD, 22.4S, 152.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220220, 0600,  , TD, 21.3S, 154.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220220, 1200,  , TD, 20.4S, 155.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220220, 1800,  , TD, 19.7S, 157.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220221, 0000,  , TD, 19.6S, 159.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220221, 0600,  , TD, 20.3S, 160.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220221, 1200,  , TD, 21.3S, 161.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220221, 1800,  , TD, 22.2S, 162.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU031922,            THREE,     00,
19220313, 0600,  , TD, 14.0S, 126.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220313, 1200,  , TD, 14.0S, 126.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220313, 1800,  , TD, 14.0S, 126.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220314, 0000,  , TD, 14.0S, 126.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220314, 0600,  , TD, 14.0S, 125.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220314, 1200,  , TD, 14.0S, 125.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220314, 1800,  , TD, 14.0S, 125.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19220315, 0000,  , TD, 14.0S, 125.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011923,            ONE,     00,
19230115, 0600,  , TD, 20.2S, 114.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19230115, 1200,  , TD, 20.4S, 114.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19230115, 1800,  , TD, 20.6S, 114.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19230116, 0000,  , TD, 20.8S, 113.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
